001,1001,c11,pv,2020-05-08 13:11:11
002,1001,c11,pv,2020-05-08 13:11:11
003,1001,c11,pv,2020-05-08 13:11:11
003,1001,c11,cart,2020-05-08 13:11:11
011,2222,c22,pv,2020-05-08 13:11:11
012,2222,c22,pv,2020-05-08 13:11:11
012,2222,c22,pv,2020-05-08 13:12:01
001,1001,c11,pv,2020-05-08 13:12:01
002,1001,c11,pv,2020-05-08 13:12:01
003,1001,c11,pv,2020-05-08 13:12:01
003,1001,c11,cart,2020-05-08 13:12:01
011,2222,c22,pv,2020-05-08 13:12:01
012,2222,c22,pv,2020-05-08 13:12:01
011,2222,c22,pv,2020-05-08 13:13:01
